sample_lr	tech
Trio2-Offspring-CLR	CLR
Trio2-Offspring-HiFi	HiFi
Trio2-Offspring-ONT-FC5	ONT
ABOFRAM000703115255	CLR
ABOFRAM000707401531	CLR
ABOFRAM000709524730	CLR
ABOFRAM007301868101	CLR
ABOFRAM007401840180	CLR
ABOFRAM007402068886	CLR
ABOFRAM007402133885	CLR
ABOFRAM007402163288	CLR
ABOFRAM007402187189	CLR
ABOFRAM007402247175	CLR
ABOFRAM007402886019-hifi	HiFi
ABOFRAM007493024415	CLR
AUBFRAM000734017874	CLR
AUBFRAM001209011720	CLR
AUBFRAM001297005734	CLR
AUBFRAM001523115415	CLR
AUBFRAM001525196826	CLR
AUBFRAM001527091231	CLR
AUBFRAM001539076866	CLR
AUBFRAM001540000849-hifi	HiFi
AUBFRAM004803045224	CLR
AUBFRAM004808127549	CLR
AUBFRAM004813021186	CLR
AUBFRAM004898126406	CLR
BAQFRAM003202769144	CLR
BAQFRAM004004274084	CLR
BAQFRAM004961211912	CLR
BAQFRAM005343396363	CLR
BAQFRAM005343396600	CLR
BAQFRAM005622917894	CLR
BAQFRAM006414787866-hifi	HiFi
BAQFRAM006493021882	CLR
BAQFRAM008123406515	CLR
BAQFRAM008197227897	CLR
BAQFRAM008206008413	CLR
BSWFRAM002152157874	CLR
BSWFRAM004427424483	CLR
BSWFRAM005238483960	CLR
BSWFRAM005239991887	CLR
BSWFRAM005356268551	CLR
CHAFRAM003615395778	CLR
CHAFRAM004240983344	CLR
CHAFRAM005455070308	CLR
CHAFRAM005703581890	CLR
CHAFRAM006146791641	CLR
CHAFRAM006334971421	CLR
CHAFRAM007121319473	CLR
CHAFRAM007121423579	CLR
CHAFRAM007240585019	CLR
CHAFRAM007242730177	CLR
CHAFRAM008901668818	CLR
HOLDEUM000122618748	CLR
HOLFRAM000340687171	CLR
HOLFRAM000802899661	CLR
HOLFRAM001452583103	CLR
HOLFRAM001452673174	CLR
HOLFRAM001723969810	CLR
HOLFRAM002211468456	CLR
HOLFRAM002215668248	CLR
HOLFRAM002219063053	CLR
HOLFRAM002229183847	CLR
HOLFRAM002229184661	CLR
HOLFRAM002234643150	CLR
HOLFRAM002234643280	CLR
HOLFRAM002258173979	CLR
HOLFRAM002931504082	CLR
HOLFRAM002939812975	CLR
HOLFRAM002939895192	CLR
HOLFRAM003514052222	CLR
HOLFRAM004120445022	CLR
HOLFRAM004242715489	CLR
HOLFRAM004242723158	CLR
HOLFRAM004242742577	CLR
HOLFRAM004438059269	CLR
HOLFRAM004460056593	CLR
HOLFRAM004974973537	CLR
HOLFRAM005643260701	CLR
HOLFRAM007241082273	CLR
HOLFRAM008069306607	CLR
HOLFRAM008501201645	CLR
HOLFRAM008550173894	CLR
HOLFRAM008554547376	CLR
HYBFRAF006100696003-hifi	HiFi
HYBFRAF006125611097-hifi	HiFi
LIMFRAM001588043155	CLR
LIMFRAM001979000443	CLR
LIMFRAM001988004715	CLR
LIMFRAM002257773618	CLR
LIMFRAM002424507604	CLR
LIMFRAM003586038908	CLR
LIMFRAM008708628B01	CLR
LIMFRAM008769003199	CLR
LIMFRAM008785003454	CLR
LIMFRAM008791002491	CLR
MONFRAM000118025911	CLR
MONFRAM001538302341	CLR
MONFRAM001539001459	CLR
MONFRAM001539107828	CLR
MONFRAM002143112789	CLR
MONFRAM002252043965	CLR
MONFRAM002520947891	CLR
MONFRAM002525973743	CLR
MONFRAM002529879925	CLR
MONFRAM002538152328	CLR
MONFRAM002541643919	CLR
MONFRAM003803417759	CLR
MONFRAM003912302640	CLR
MONFRAM003917468802	CLR
MONFRAM003922992327	CLR
MONFRAM004242606959	CLR
MONFRAM004242751374	CLR
MONFRAM004242751380	CLR
MONFRAM004318202636	CLR
MONFRAM004318213411	CLR
MONFRAM005353907096	CLR
MONFRAM005359151998	CLR
MONFRAM007030761547	CLR
MONFRAM007040355837	CLR
MONFRAM007302225213	CLR
MONFRAM009023369120	CLR
NMDFRAM001444215445	CLR
NMDFRAM001733397697	CLR
NMDFRAM002234643275	CLR
NMDFRAM002234663319	CLR
NMDFRAM002238786032	CLR
NMDFRAM002258273022	CLR
NMDFRAM002833605387	CLR
NMDFRAM003511103723	CLR
NMDFRAM003513516244	CLR
NMDFRAM003524253301	CLR
NMDFRAM003539688638	CLR
NMDFRAM004242712092	CLR
NMDFRAM004453547129	CLR
NMDFRAM005028990496	CLR
NMDFRAM005046740237	CLR
NMDFRAM005054604023	CLR
NMDFRAM005339351049	CLR
NMDFRAM005344105973	CLR
NMDFRAM005346019575	CLR
NMDFRAM005357027868	CLR
NMDFRAM005370912786	CLR
NMDFRAM005632952199	CLR
NMDFRAM006119426376	CLR
NMDFRAM006123896395	CLR
NMDFRAM006124239493	CLR
NMDFRAM007620583323	CLR
NMDFRAM007644102969	CLR
NMDFRAM008070733798	CLR
PARFRAM007903520279	CLR
PARFRAM007949950013	CLR
PARFRAM007989003629	CLR
RDCFRAM005991005370	CLR
RDCFRAM006204103580	CLR
RDCFRAM006284000083	CLR
SIMFRAM002130601268	CLR
SIMFRAM003804030761	CLR
SIMFRAM006363587262	CLR
SIMFRAM008843743258	CLR
SIMFRAM008844096443	CLR
TARFRAM004393031519	CLR
TARFRAM007301724179	CLR
TARFRAM007301780558	CLR
TARFRAM007301904363	CLR
TARFRAM007302294228-hifi	HiFi
TARFRAM007389084285	CLR
Trio1-Father-ONT	ONT
Trio1-Mother-ONT	ONT
Trio1-Offspring-ONT	ONT
Trio2-Father-ONT	ONT
Trio2-Mother-CLR	CLR
Trio2-Mother-ONT	ONT
VOSFRAM006868493624	CLR
VOSFRAM006868575859	CLR
VOSFRAM006868656773	CLR
VOSFRAM007021094862	CLR
VOSFRAM008844311363-hifi	HiFi
